8,DFS,876,114
8,BFS,15720,1966
8,A* h1,576,73
8,A* h2,616,78
9,DFS,333,42
9,BFS,72378,8043
9,A* h1,351,40
9,A* h2,855,96
4,DFS,26,9
4,BFS,60,16
4,A* h1,48,13
4,A* h2,32,9
5,DFS,15,6
5,BFS,220,45
5,A* h1,25,6
5,A* h2,25,6
5,DFS,15,6
6,DFS,171,32
6,BFS,894,150
6,A* h1,252,43
6,A* h2,180,31
7,DFS,42,10
7,BFS,3584,513
7,A* h1,63,10
7,A* h2,70,11
8,DFS,876,114
8,BFS,15720,1966
8,A* h1,576,73
8,A* h2,616,78
9,DFS,333,42
9,BFS,72378,8043
9,A* h1,351,40
9,A* h2,855,96
10,DFS,975,103
10,BFS,348150,34816
10,A* h1,2470,248
10,A* h1,2470,248
10,A* h2,340,35
11,DFS,517,53
11,BFS,1806706,164247
11,A* h1,1419,130
11,A* h2,2189,200
12,DFS,3066,262
12,BFS,10103868,841990
12,A* h1,2016,169
12,A* h2,2220,186
13,DFS,1365,112
13,BFS,59815314,4601179
13,A* h1,1950,151
13,A* h2,7865,606
15,DFS,20280,1360
15,A* h1,17325,1156
15,A* h2,13260,885
20,DFS,3992510,199636
20,A* h1,1469820,73492
20,A* h2,10400,521
30,DFS,1692888135,56429620
30,A* h1,1333002510,44433418
30,A* h2,53370,1780
